ref,domain,ar,tgt,tgt_lang,license
quran:51:29,quran,فاقبلت ٱمراته في صرة فصكت وجهها وقالت عجوز عقيم‏,اس پر ان کی بیوی زور سے بولتی ہوئی آئیں، اور انہوں نے اپنا چہرہ پیٹ لیا اور کہنے لگیں (کیا) ایک بانجھ بڑھیا (بچہ جنے گی ؟),ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:2:107,quran,الم تعلم ان ٱلله له ملك ٱلسموت وٱلارض وما لكم من دون ٱلله من ولي ولا نصير,کیا تمہیں یہ معلوم نہیں کہ اللہ وہ ذات ہے کہ آسمانوں اور زمین کی سلطنت تنہا اسی کی ہے، اور اللہ کے سوا نہ کوئی تمہارا رکھوالا ہے نہ مددگار ؟,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:20:23,quran,لنريك من ءايتنا ٱلكبرى,(یہ ہم اس لیے کر رہے ہیں) تاکہ اپنی بڑی نشانیوں میں سے کچھ تمہیں دکھائیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:75:19,quran,ثم ان علينا بيانه,پھر اس کی وضاحت بھی ہماری ذمہ داری ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:3:60,quran,ٱلحق من ربك فلا تكن من ٱلممترين,حق وہی ہے جو تمہارے رب کی طرف سے آیا ہے، لہذا شک کرنے والوں میں شامل نہ ہوجانا۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:9:122,quran,وما كان ٱلمومنون لينفروا كافة فلولا نفر من كل فرقة منهم طايفة ليتفقهوا في ٱلدين ولينذروا قومهم اذا رجعوا اليهم لعلهم يحذرون,اور مسلمانوں کے لیے یہ بھی مناسب نہیں ہے کہ وہ (ہمیشہ) سب کے سب (جہاد کے لیے) نکل کھڑے ہوں۔ لہذا ایسا کیوں نہ ہو کہ ان کی ہر بڑی جماعت میں سے ایک گروہ (جہاد کے لیے) نکلا کرے، تاکہ (جو لوگ جہاد میں نہ گئے ہوں وہ دین کی سمجھ بوجھ حاصل کرنے کے لیے محنت کریں، اور جب ان کی قوم کے لوگ (جو جہاد میں گئے ہیں) ان کے پاس واپس آئیں تو یہ ان کو متنبہ کریں، تاکہ وہ (گناہوں سے) بچ کر رہیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:2:189,quran,يسلونك عن ٱلاهلة قل هي موقيت للناس وٱلحج وليس ٱلبر بان تاتوا ٱلبيوت من ظهورها ولكن ٱلبر من ٱتقى واتوا ٱلبيوت من ابوبها وٱتقوا ٱلله لعلكم تفلحون,لوگ آپ سے نئے مہینوں کے چاند کے بارے میں پوچھتے ہیں، آپ انہیں بتا دیجیئے کہ یہ لوگوں (کے مختلف معاملات کے) اور حج کے اوقات متعین کرنے کے لیے ہیں۔ اور یہ کوئی نیکی نہیں ہے کہ تم گھروں میں ان کی پشت کی طرف سے داخل ہو بلکہ نیکی یہ ہے کہ انسان تقوی اختیار کرے، اور تم گھروں میں ان کے دروازوں سے داخل ہوا کرو، اور اللہ سے ڈرتے رہو، تاکہ تمہیں فلاح حاصل ہو۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:55:18,quran,فباي ءالاء ربكما تكذبان,اب بتاؤ کہ تم دونوں اپنے پروردگار کی کون کونسی نعمتوں کو جھٹلاؤ گے ؟,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:21:52,quran,اذ قال لابيه وقومه ما هذه ٱلتماثيل ٱلتي انتم لها عكفون,وہ وقت یاد کرو جب انہوں نے اپنے باپ اور اپنی قوم سے کہا تھا کہ : یہ کیا مورتیں ہیں جن کے آگے تم دھرنا دیے بیٹھے ہو ؟,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:25:39,quran,وكل ا ضربنا له ٱلامثل وكل ا تبرنا تتبير ا,ان میں سے ہر ایک کو سمجھانے کے لیے ہم نے مثالیں دیں، اور (جب وہ نہ مانے تو) ہر ایک کو ہم نے پیس کر رکھ دیا۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
