ref,domain,ar,tgt,tgt_lang,license
quran:54:29,quran,فنادوا صاحبهم فتعاطى فعقر,"Ama bir arkadaşlarını çağırdılar, o da kılıcını alarak deveyi kesti",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:36:7,quran,لقد حق ٱلقول على اكثرهم فهم لا يومنون,Andolsun ki onların çoğu gafletlerinin cezasını hak etmişlerdir. Çünkü onlar iman etmiyorlar,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:28:55,quran,واذا سمعوا ٱللغو اعرضوا عنه وقالوا لنا اعملنا ولكم اعملكم سلم عليكم لا نبتغي ٱلجهلين,"Onlar, boş söz işittikleri vakit ondan yüz çevirirler. ""Bizim işlediğimiz bize, sizin işlediğiniz sizedir. Size selam olsun, cahillerle ilgilenmeyiz"" derler",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:11:14,quran,فالم يستجيبوا لكم فٱعلموا انما انزل بعلم ٱلله وان لا اله الا هو فهل انتم مسلمون,"Söylediğinizi yapamazlarsa, bilin ki o, ancak Allah'ın ilmiyle indirilmiştir. O'ndan başka tanrı yoktur, artık müslümansınız değil mi",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:12:43,quran,وقال ٱلملك اني ارى سبع بقرت سمان ياكلهن سبع عجاف وسبع سنبلت خضر واخر يابست يايها ٱلملا افتوني في رءيي ان كنتم للرءيا تعبرون,"Hükümdar: ""Ben, yedi semiz ineği yedi zayıf ineğin yediğini; yedi yeşil başak ve bir o kadar da kurumuş başak görüyorum. Ey ileri gelenler! Eğer rüya yormasını biliyorsanız rüyamı söyleyiniz."" dedi",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:7:147,quran,وٱلذين كذبوا بايتنا ولقاء ٱلاخرة حبطت اعملهم هل يجزون الا ما كانوا يعملون,"Halbuki ayetlerimizi ve ahirete kavuşmayı yalanlayanların amelleri boşa çıkmıştır. Onlar, yapmakta oldukları amellerden başka bir şey için mi cezalandırılırlar",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:64:5,quran,الم ياتكم نبوا ٱلذين كفروا من قبل فذاقوا وبال امرهم ولهم عذاب اليم‏,"Daha önce inkar edip de, inkarlarının karşılığını tadan kimselerin haberi size gelmedi mi? Onlara, can yakıcı azap vardır",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:32:11,quran,قل يتوفىكم ملك ٱلموت ٱلذي وكل بكم ثم الى ربكم ترجعون,"De ki: ""Size vekil kılınan ölüm meleği canınızı alacak, sonra Rabbinize döndürüleceksiniz",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:28:11,quran,وقالت لاخته قصيه فبصرت به عن جنب وهم لا يشعرون,"Annesi Musa'nın ablasına: Onun izini takip et, dedi. O da, onlar farkına varmadan uzaktan kardeşini gözetledi",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:18:21,quran,وكذلك اعثرنا عليهم ليعلموا ان وعد ٱلله حق وان ٱلساعة لا ريب فيها اذ يتنزعون بينهم امرهم فقالوا ٱبنوا عليهم بنين ا ربهم اعلم بهم قال ٱلذين غلبوا على امرهم لنتخذن عليهم مسجد ا,"Böylece (insanları) onlardan haberdar ettik ki, Allah'ın vadinin hak olduğunu, kıyametin şüphe götürmez olduğunu bilsinler. Hani onlar aralarında Ashab-ı Kehfin durumunu tartışıyorlardı. Dediler ki: ""Üzerlerine bir bina yapın. Rableri onları daha iyi bilir."" Onların durumuna vakıf olanlar ise: ""Bizler, kesinlikle onların yanıbaşlarına bir mescit yapacağız"" dediler",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:2:82,quran,وٱلذين ءامنوا وعملوا ٱلصلحت اوليك اصحب ٱلجنة هم فيها خلدون,"İnanıp yararlı işler yapan kimseler cennetlik olanlardır, onlar da orada temellidirler",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:16:112,quran,وضرب ٱلله مثل ا قرية كانت ءامنة مطمينة ياتيها رزقها رغد ا من كل مكان فكفرت بانعم ٱلله فاذقها ٱلله لباس ٱلجوع وٱلخوف بما كانوا يصنعون,Allah size güven ve huzur içinde olan bir kasabayı misal verir: Her taraftan oraya bolca rızık geliyordu. Ama Allah'ın nimetlerine nankörlük ettiler; bu yüzden Allah onlara yaptıklarına karşılık açlık ve korku belasını tattırdı,tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:77:2,quran,فٱلعصفت عصف ا,Şiddetle eserek (zararlıları) savurup atanlara,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:68:20,quran,فاصبحت كٱلصريم,Bahçe kapkara kesildi,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:17:97,quran,ومن يهد ٱلله فهو ٱلمهتد ومن يضلل فلن تجد لهم اولياء من دونه ونحشرهم يوم ٱلقيمة على وجوههم عمي ا وبكم ا وصم ا ماوىهم جهنم كلما خبت زدنهم سعير ا,"Allah kime hidayet verirse, işte doğru yolu bulan odur; kimi de hidayetten uzak tutarsa, artık onlara, Allah'tan başka dostlar bulamazsın. Kıyamet gününde onları kör, dilsiz ve sağır bir halde yüzükoyun haşrederiz. Onların varacağı ve kalacağı yer cehennemdir ki, ateşi yavaşladıkça onun alevini artırırız",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
