name,url,method,license,languages,status,notes
hadeethenc,https://hadeethenc.com/api/v1,official API,"Attribution required; no modification of published text; keep version/transcript info; notify HadeethEnc of corrections; re-sync to latest version (site's own Terms and Policies modal). robots.txt Content-Signal header: ai-train=yes, search=yes, ai-input=yes.",ar;en;fr;id;ur;tr,ok,"VERIFIED LIVE from this machine (reachable, unlike the earlier sandbox). Real endpoints confirmed against the site's own public Postman collection (https://hadeethenc.com/api-docs/, https://documenter.gw.postman.com/api/collections/5211979/TVev3j7q) AND live responses: GET /categories/list/?language=<lc> (flat list, id/title/hadeeths_count/parent_id, 493 categories, ids language-independent); GET /hadeeths/list/?language=<lc>&category_id=<id>&page=<n>&per_page=<n> (max tested per_page=200, works; meta={current_page,last_page,total_items,per_page}); GET /hadeeths/one/?language=<lc>&id=<id>; GET /hadeeths/multiple/?language=<lc>&ids=<csv> (batch of 40+ ids confirmed working); GET /hadeeths/search/?phrase=<text>&language=<lc>; GET /languages. Full-record fields confirmed live: id, title, hadeeth, attribution, grade, explanation, hints[], categories[], translations[] (list of language codes this hadith has), plus *_ar suffixed originals (hadeeth_ar, explanation_ar, hints_ar, words_meanings_ar, attribution_ar, grade_ar) returned alongside every non-Arabic language response. hints[] is sometimes empty for a given non-Arabic language even when hints_ar is populated -- a real translation gap, not a bug (confirmed across multiple ids). Downloader: src/download_hadeethenc.py, run successfully end-to-end on this machine; counts in reports/data_report.md."
tanzil,https://tanzil.net/trans/,official direct download,"Tanzil Quran Text License (per-translation restrictions, some translations restrict modification/redistribution)",en;fr;id;ur;tr,blocked_use_alternative,"REACHABLE from this machine (200 OK) but not re-scraped, since fawazahmed0/quran-api already mirrors Tanzil-sourced Arabic text + 400+ translations and is Unlicense-declared for the compilation. If exact Tanzil attribution wording is ever required for compliance, fetch it directly from tanzil.net/trans/ (now reachable) rather than relying on this note."
king_fahd_complex,https://qurancomplex.gov.sa,do-not-scrape (per instructions) -- manual/browser review needed,Unknown -- could not be determined without a browser,fr;ur;en;id;tr,needs_manual_review,"REACHABLE (200 OK) but NOT scraped, per instructions. Checked https://qurancomplex.gov.sa/quran-translations/ (Publications) and https://qurancomplex.gov.sa/quran-dev/ (Sites & Apps / developer platform): both return a real HTTP 200 with a populated page shell (nav, footer, ~2500-3600 lines of HTML) but the actual translation-list / dev-API content is not present in the static HTML -- it is rendered client-side by JavaScript after load (confirmed: no matching WP REST route for these pages at /wp-json/wp/v2/pages, no distinct sitemap entries for per-language sub-pages, no direct .pdf/.zip/.docx links anywhere in the fetched HTML). The only other qurancomplex.gov.sa subdomain linked from the homepage, nashr.qurancomplex.gov.sa, turned out to be unrelated: it's 'Madinah Mushaf Desktop Publishing' -- Windows typesetting software for Arabic text layout, not a translation download. /sales-policy/ and /privacypolicy/ pages exist but cover paid physical copies and site visitor privacy respectively, not digital-content reuse terms. CONCLUSION: format, exact terms, and extraction difficulty for the actual translation downloads cannot be determined without rendering the page in a real browser (e.g. via a browser-automation tool) or being given a direct API/download URL. Recommend: either approve a one-time manual browser check of https://qurancomplex.gov.sa/quran-translations/ and /quran-dev/, or deprioritize this source given fawazahmed0/quran-api already covers fr/ur/en/id/tr Quran translations (with its own gov/waqf-attribution caveat, see that row)."
fawazahmed0_quran-api,https://github.com/fawazahmed0/quran-api,raw JSON files via raw.githubusercontent.com,"Unlicense (public domain) declared by repo maintainer for the compilation",en;fr;id;ur;tr,ok,"VERIFIED LIVE. editions.json lists 492 editions. Arabic: ara-quransimple.json (plain) and ara-quranuthmanihaf.json (diacritized, confirmed 6236/6236 verses, chapter/verse aligned) both fetched and checked. Target-language non-transliteration editions available: eng=52, fra=5, ind=6, urd=11, tur=29, each with translator name in 'author' field. All editions confirmed 6236 verses via chapter/verse keys, so alignment to Arabic by (chapter,verse) is safe. CAVEAT: repo's Unlicense covers the aggregator's compilation; several included translations are independently copyrighted by their original publishers/translators (e.g. Abdel Haleem/Oxford University Press, Saheeh International). Mark those specific editions needs_approval before including in a redistributed training set; prefer editions whose 'source' field points to a government/waqf body (e.g. King Fahd Complex, Indonesian Islamic Affairs Ministry) as clearly public releases. UPDATE (PLAN.md 8.7): user reviewed the full candidate list and explicitly approved urd_muhammadtaqiusm (Muhammad Taqi Usmani) as an individually-authored exception -- added to APPROVED_EDITION_KEYS, closing the Urdu Quran gap (0 -> 6,217 pairs). LICENSE STATUS: unconfirmed, not verified compliant -- aggregator has no 'source' URL for this edition and a web search for an official license/terms statement turned up nothing citable (only Internet Archive mirrors and bibliography pages). Different from Hamidullah below: here no terms were found at all to confirm compliance against, vs. Hamidullah where a specific restriction was found and confirmed satisfied. UPDATE (PLAN.md 8.8): user also approved fra_muhammadhamidul (Muhammad Hamidullah) for French (0 -> 6,226 pairs), after its license was checked live: tanzil.net's own /trans/ Terms of Use states translations on that page are 'for non-commercial purposes only' -- confirmed applicable to this edition (its 'source' field points to http://tanzil.net) before approval, not assumed. PROJECT LICENSE BASIS (confirmed 2026-09-22, see PLAN.md top section): this project is non-commercial (research/educational, no revenue, no commercial deployment) -- this edition is therefore COMPLIANT, not a flagged gap; the compliance reasoning is carried in every pair's license field via a new LICENSE_NOTES dict in download_quran.py. Remaining French candidates (fra_muhammadhameedu, fra_islamicfoundati, fra_rashidmaash -- all quranenc.com, fra_shahnazsaidiben -- Goodwordbooks) were shown but not chosen; not independently license-checked since Hamidullah was selected."
fawazahmed0_hadith-api,https://github.com/fawazahmed0/hadith-api,raw JSON files via raw.githubusercontent.com,Unlicense (public domain) declared by repo maintainer,en;fr;id;ur;tr,ok,"VERIFIED LIVE. editions.json structure is {book: {collection: [editions...]}}. Confirmed index alignment between ara-bukhari.json and eng-bukhari.json (both 7589 hadiths, same order, matched by 'hadithnumber'). Coverage per book across all 5 target languages: bukhari, muslim, abudawud, tirmidhi, nasai, ibnmajah, malik have en+fr+id+ur+tr; nawawi/qudsi/dehlawi are missing some languages (ur/tr/id gaps) - use what exists, do not fabricate. Same aggregator-license caveat as quran-api applies to translator attribution."
opus_tanzil,https://opus.nlpl.eu (files served from https://object.pouta.csc.fi/OPUS-Tanzil/),direct download (Moses-format zip per corpus),"Non-commercial use only (corpus's own README, see notes) -- NOT used in training pipeline",ar-en;ar-fr;ar-id;ar-ur;ar-tr,verified_not_integrated,"VERIFIED LIVE via the official https://opus.nlpl.eu/opusapi/?source=ar&target=<lc>&preprocessing=moses endpoint (opus.nlpl.eu's robots.txt disallows crawling /opusapi and *.zip on that domain for search-engine bots, but the JSON API and the actual files are the site's own documented, intended way to fetch a corpus -- the same mechanism its own download buttons use -- so this is not being scraped against the site's wishes; the /opusapi disallow is a search-indexing directive, not a redistribution ban). Downloaded and inspected all 5 pairs (65.6MB total: ar-en 24.4MB/187052 lines, ar-fr 1.7MB/12471, ar-id 5.9MB/37412, ar-ur 14.4MB/99762, ar-tr 14.8MB/112232). TWO problems found by reading the actual extracted text, not just the corpus name: (1) the corpus's own README (https://object.pouta.csc.fi/OPUS-Tanzil/v1/moses/README) states 'The translations provided at this page are for non-commercial purposes only' -- a harder restriction than HadeethEnc's attribution-only terms; (2) every pair's .ids file tags the Arabic column as ar/jalalayn.xml.gz -- Tafsir al-Jalalayn (a verse-by-verse commentary), NOT the Quran verse text itself, confirmed by reading actual lines (e.g. verse 1:2's 'Arabic' line is a grammatical explanation of the word al-hamd, several sentences long, not the ayah). Target-language translators found: en=ahmedali, fr=hamidullah, id=indonesian, ur=ahmedali, tr=ates -- all individually-authored editions, same category already excluded from our approved Quran set. PROJECT LICENSE BASIS (confirmed 2026-09-22, see PLAN.md top section): this project is non-commercial, so the license restriction alone would be COMPLIANT -- but this source is still excluded for the separate, unrelated reason that its Arabic column is tafsir commentary, not Quran verse text. Given the source-text mismatch, this is downloaded/cached and reported (src/download_opus.py, data/raw/opus_tanzil/verification_report.json) but deliberately NOT merged into cleaned.jsonl. Also on OPUS but not fetched: TED2020 (out-of-domain TED-talk transcripts; its own usage policy at ted.com/.../ted-talks-usage-policy is separately restrictive) -- not relevant to this religious-domain task."
islamhouse,https://api3.islamhouse.com/v3,official public API (free key published in the site's own docs),"Not explicitly stated for content reuse/ML -- only a visitor-data privacy policy was found, not a content license -- marked needs_approval per your instruction to keep unclear-license sources out of train",ar;en;fr;id;ur;tr,needs_approval,"REACHABLE (200 OK). Found a real, documented public API (api.islamhouse.com redirects to https://developers.islamhouse.com, whose Postman collection at https://documenter.gw.postman.com/api/collections/7929737/TzkyMfPc lists 37 endpoints under base https://api3.islamhouse.com/v3/paV29H2gm56kvLPy/..., free public API key confirmed working live: main/get-available-languages, main/get-item/<id>/<lang>/json, main/get-item-translations/<id>/<lang>/json (returns sibling item ids in every other available language for the same work -- true cross-language alignment), quran/* endpoints, etc). BOOKS: confirmed PDF-only (no inline text field) via main/get-item/2839210/ar/json and a book detail page (islamhouse.com/en/books/1261/, two .pdf links). ARTICLES (checked this pass, type slug confirmed = 'articles' plural, found via main/get-category-types-available/<catId>/ar/ar/json's api_url): DOES have a real full_description HTML field, unlike books -- but it's unreliable, not a clean win. A 200-item probe of Arabic articles spread across the full 2007-2026 time range (main/get-latest/all/articles/ar/ar/<page>/10/json, pages 1..161 step 8) found: 79/200 (39.5%) have substantial inline text (full_description >200 chars) -- but only 3/200, 2/200, 7/200, 2/200, 0/200 (en/fr/id/ur/tr respectively) even HAVE a translation into our 5 target languages via main/get-item-translations, and of those few, only about half also have inline text on the target-language side too (e.g. en: 1/3 had text on both sides; fr: 0/2; id: 1/7; ur: 0/2; tr: 0/0 found at all). Per-language translated-article COUNTS reported by the API are larger (en 494, fr 229, id 820, ur 156, tr 284 of 1,672 total) but this sample suggests the actual (inline-text-on-both-sides) fraction of those is small and would require probing every candidate individually with no way to predict the yield in advance. CONCLUSION: not the same as books (some articles genuinely have text), but the practical yield for building an ar<->{en,fr,id,ur,tr} sentence pair source is negligible and unpredictable without an expensive full-corpus probe, and NO content-reuse/ML terms were found beyond the visitor-data-only privacy policy at d1.islamhouse.com/html/policy.htm regardless. Per your instruction (mark needs_approval and keep out of train when ML-use terms are unclear), NOT scraped in bulk and no downloader was written -- decision treated the same as books despite the partial inline-text exception."
haramain_khutab,n/a,manual addition by user,n/a,ar;en;fr;id;ur;tr,manual_pending,"Per instructions, not scraped. data/raw/haramain_khutab/ scaffolded with a README describing the expected input format for the user to add manually."
common_voice_ar,https://huggingface.co/datasets/mozilla-foundation/common_voice_17_0,HF datasets download,CC0,ar,needs_verification_phase2,"Not re-checked this pass (Phase 2/ASR is out of scope for this pass -- see PLAN.md). huggingface.co is reachable from this machine now; report size/license/gating in a future Phase 2 pass, do not download without separate approval."
masc,https://huggingface.co/datasets/pain/MASC,HF datasets download,Check per-dataset license card,ar,needs_verification_phase2,"Not re-checked this pass. Phase 2 only, needs live check of license and gating status."
sada,https://huggingface.co/datasets/SDAIA/SADA2022,HF datasets download,Check per-dataset license card (may be gated),ar,needs_verification_phase2,"Not re-checked this pass. Phase 2 only, needs live check of license, size, and whether access requires a gated request."
