ref,domain,ar,tgt,tgt_lang,license
quran:2:137,quran,فان ءامنوا بمثل ما ءامنتم به فقد ٱهتدوا وان تولوا فانما هم في شقاق فسيكفيكهم ٱلله وهو ٱلسميع ٱلعليم,"Alors, s'ils croient à cela même à quoi vous croyez, ils seront certainement sur la bonne voie. Et s'ils s'en détournent, ils seront certes dans le schisme! Alors Allah te suffira contre eux. Il est l'Audient, l'Omniscient",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:105:1,quran,الم تر كيف فعل ربك باصحب ٱلفيل,N'as-tu pas vu comment ton Seigneur a agi envers les gens de l'Eléphant,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:52:13,quran,يوم يدعون الى نار جهنم دعا,le jour où ils seront brutalement poussés au feu de l'Enfer,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:2:42,quran,ولا تلبسوا ٱلحق بٱلبطل وتكتموا ٱلحق وانتم تعلمون,Et ne mêlez pas le faux à la vérité. Ne cachez pas sciemment la vérité,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:29:14,quran,ولقد ارسلنا نوحا الى قومه فلبث فيهم الف سنة الا خمسين عام ا فاخذهم ٱلطوفان وهم ظلمون,"Et en effet, Nous avons envoyé Noé vers son peuple. Il demeura parmi eux mille ans moins cinquante années. Puis le déluge les emporta alors qu'ils étaient injustes",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:86:5,quran,فلينظر ٱلانسن مم خلق,Que l'homme considère donc de quoi il a été créé,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:23:34,quran,ولين اطعتم بشر ا مثلكم انكم اذ ا لخسرون,"Si vous obéissez à un homme comme vous, vous serez alors perdants",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:38:78,quran,وان عليك لعنتي الى يوم ٱلدين,et sur toi sera ma malédiction jusqu'au jour de la Rétribution»,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:55:41,quran,يعرف ٱلمجرمون بسيمهم فيوخذ بٱلنوصي وٱلاقدام,On reconnaîtra les criminels à leurs traits. Ils seront donc saisis par les toupets et les pieds,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:9:127,quran,واذا ما انزلت سورة نظر بعضهم الى بعض هل يرىكم من احد ثم ٱنصرفوا صرف ٱلله قلوبهم بانهم قوم لا يفقهون,"Et quand une Sourate est révélée, ils se regardent les uns les autres [et se disent]: «Quelqu'un vous voit-il?» Puis ils se détournent. Qu'Allah détourne leurs cœurs, puisque ce sont des gens qui ne comprennent rien",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
